GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200721,HH,HT,B,L,27.0,222.0,41.0,16.0,2.0,0.0,2.0,0.0,9.0,8.0,2.0,10.0,9.0
200721,HT,HH,T,W,27.0,133.0,29.0,3.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,2.0,2.0
200721,KT,LG,B,W,27.0,168.0,38.0,13.0,4.0,0.0,2.0,0.0,6.0,7.0,1.0,9.0,9.0
200721,LG,KT,T,L,24.0,150.0,34.0,12.0,0.0,0.0,3.0,1.0,4.0,7.0,1.0,10.0,10.0
200721,SK,LT,B,W,27.0,161.0,35.0,10.0,1.0,0.0,1.0,1.0,5.0,4.0,1.0,7.0,7.0
200721,LT,SK,T,L,24.0,166.0,34.0,13.0,1.0,0.0,3.0,2.0,4.0,6.0,1.0,8.0,8.0
200721,NC,SS,B,W,30.0,182.0,36.0,9.0,0.0,0.0,1.0,3.0,4.0,7.0,2.0,5.0,5.0
200721,SS,NC,T,L,27.0,162.0,38.0,13.0,3.0,0.0,3.0,0.0,3.0,7.0,0.0,6.0,6.0
200721,OB,WO,B,W,27.0,143.0,35.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0
200721,WO,OB,T,L,24.0,121.0,31.0,7.0,2.0,1.0,1.0,2.0,1.0,6.0,0.0,6.0,6.0
200722,HH,HT,B,L,27.0,148.0,30.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,2.0,2.0
200722,HT,HH,T,W,27.0,153.0,29.0,4.0,1.0,0.0,0.0,0.0,5.0,14.0,1.0,1.0,1.0
200811,WO,HH,B,L,36.0,215.0,44.0,10.0,1.0,0.0,1.0,0.0,8.0,10.0,0.0,7.0,5.0
200811,HH,WO,T,W,36.0,235.0,45.0,12.0,1.0,0.0,1.0,2.0,8.0,13.0,0.0,5.0,4.0
200811,LG,HT,B,L,27.0,172.0,35.0,11.0,3.0,0.0,0.0,0.0,7.0,3.0,1.0,8.0,8.0
200811,HT,LG,T,W,27.0,157.0,36.0,9.0,2.0,0.0,1.0,0.0,1.0,11.0,0.0,4.0,4.0
200811,SS,OB,B,L,27.0,172.0,33.0,9.0,1.0,0.0,1.0,0.0,6.0,4.0,2.0,6.0,6.0
200811,OB,SS,T,W,27.0,151.0,34.0,8.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0
200811,KT,SK,B,W,27.0,139.0,30.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,1.0,0.0
200811,SK,KT,T,L,24.0,170.0,31.0,11.0,2.0,0.0,1.0,0.0,6.0,8.0,2.0,6.0,6.0
200812,WO,HH,B,W,30.0,163.0,34.0,4.0,1.0,0.0,1.0,1.0,4.0,8.0,0.0,2.0,2.0
200812,HH,WO,T,L,27.0,153.0,30.0,9.0,2.0,0.0,1.0,1.0,7.0,3.0,3.0,3.0,3.0
200812,LG,HT,B,W,27.0,166.0,29.0,2.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0
200812,HT,LG,T,L,24.0,140.0,34.0,12.0,5.0,0.0,0.0,1.0,3.0,9.0,2.0,8.0,8.0
200812,LT,NC,B,W,27.0,157.0,35.0,9.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0,4.0
200812,NC,LT,T,L,24.0,148.0,33.0,13.0,3.0,0.0,1.0,0.0,6.0,4.0,1.0,8.0,8.0
200812,SS,OB,B,L,27.0,166.0,45.0,24.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,15.0,15.0
200812,OB,SS,T,W,27.0,169.0,42.0,16.0,4.0,0.0,2.0,0.0,1.0,6.0,1.0,8.0,8.0
