GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200721,HH,HT,B,74163,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,50458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,66838,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200721,SS,NC,T,62404,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200721,SS,NC,T,79402,5.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
200721,NC,SS,B,73306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,76849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,NC,SS,B,66917,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,NC,SS,B,50923,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
200721,NC,SS,B,60566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,78813,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,62925,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,74465,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0
200721,NC,SS,B,78122,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,75566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200721,NC,SS,B,76232,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,NC,SS,B,63963,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,62907,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
200721,LT,SK,T,68518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,65506,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,76249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,62558,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
