GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,START_CK,RELIEF_CK,INN2,BF,PA,AB,HIT,HR,KK,BB,R,ER,ERA
200721,HH,HT,B,65769,1,0,11.0,95.0,21.0,16.0,7.0,1.0,3.0,5.0,5.0,5.0,12.27
200721,LT,SK,T,64565,0,1,3.0,18.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200721,LT,SK,T,63512,0,1,3.0,20.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
200721,LT,SK,T,63543,0,1,3.0,18.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0
200721,LT,SK,T,62528,0,1,1.0,15.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,54.0
200721,NC,SS,B,66920,1,0,10.0,68.0,15.0,11.0,3.0,1.0,0.0,3.0,3.0,3.0,8.1
200721,NC,SS,B,63991,0,1,5.0,25.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,61295,0,1,2.0,16.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200721,NC,SS,B,63959,0,1,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,64995,0,1,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,69962,0,1,3.0,23.0,5.0,5.0,3.0,0.0,1.0,0.0,2.0,2.0,18.0
200721,NC,SS,B,79358,0,1,4.0,24.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
200721,NC,SS,B,76118,0,1,2.0,13.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,77446,1,0,16.0,99.0,26.0,24.0,9.0,3.0,4.0,2.0,5.0,5.0,8.44
200721,SS,NC,T,60146,0,1,2.0,15.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,62920,0,1,3.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,73117,0,1,3.0,16.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,67421,0,1,3.0,9.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,68403,0,1,1.0,12.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,27.0
200721,OB,WO,B,69045,1,0,21.0,94.0,25.0,25.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0
200721,OB,WO,B,67246,0,1,1.0,19.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,27.0
200721,OB,WO,B,76329,0,1,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,WO,OB,T,69343,1,0,17.0,91.0,24.0,23.0,6.0,1.0,4.0,1.0,6.0,6.0,9.53
200721,WO,OB,T,63348,0,1,1.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,WO,OB,T,69328,0,1,3.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,WO,OB,T,69360,0,1,3.0,16.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,64596,0,1,1.0,9.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,73211,0,1,4.0,24.0,8.0,5.0,3.0,1.0,0.0,1.0,4.0,4.0,27.0
200721,OB,WO,B,65241,0,1,3.0,20.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SK,LT,B,76350,0,1,3.0,17.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LT,SK,T,50524,1,0,10.0,62.0,14.0,14.0,5.0,0.0,4.0,0.0,1.0,1.0,2.7
200721,HH,HT,B,67703,0,1,4.0,24.0,6.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,6.75
200721,HH,HT,B,64554,0,1,3.0,25.0,6.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0
200721,HH,HT,B,64760,0,1,3.0,29.0,6.0,6.0,3.0,0.0,2.0,0.0,1.0,1.0,9.0
200721,HH,HT,B,63464,0,1,3.0,33.0,7.0,7.0,3.0,1.0,2.0,0.0,2.0,1.0,9.0
200721,HT,HH,T,50640,1,0,20.0,100.0,22.0,20.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0
200721,HT,HH,T,63638,0,1,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HT,HH,T,65639,0,1,3.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,HT,HH,T,66663,0,1,3.0,17.0,6.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,18.0
200721,KT,LG,B,65516,1,0,15.0,90.0,25.0,22.0,9.0,0.0,3.0,3.0,6.0,6.0,10.8
200721,KT,LG,B,75340,0,1,5.0,28.0,8.0,6.0,2.0,1.0,0.0,2.0,2.0,2.0,10.8
200721,KT,LG,B,68043,0,1,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200721,KT,LG,B,76757,0,1,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HH,HT,B,61156,0,1,3.0,16.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200721,KT,LG,B,65062,0,1,3.0,19.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,9.0
200721,LG,KT,T,68135,1,0,18.0,96.0,23.0,19.0,3.0,0.0,6.0,3.0,1.0,1.0,1.5
200721,LG,KT,T,66145,0,1,0.0,8.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
200721,LG,KT,T,62146,0,1,0.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
200721,LG,KT,T,79140,0,1,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
200721,LG,KT,T,76650,0,1,1.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,27.0
200721,SK,LT,B,62056,0,1,3.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LG,KT,T,69159,0,1,5.0,20.0,7.0,7.0,2.0,0.0,1.0,0.0,1.0,1.0,5.4
200721,LG,KT,T,79825,0,1,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
200721,SK,LT,B,50835,1,0,18.0,113.0,27.0,23.0,6.0,1.0,3.0,4.0,4.0,4.0,6.0
200721,SK,LT,B,63894,0,1,2.0,19.0,4.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,27.0
200721,SK,LT,B,64893,0,1,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,27.0
200721,KT,LG,B,65060,0,1,3.0,19.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200722,HT,HH,T,66609,0,1,3.0,10.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200722,HT,HH,T,63638,0,1,4.0,19.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200722,HT,HH,T,77637,1,0,15.0,93.0,21.0,18.0,3.0,0.0,8.0,3.0,1.0,1.0,1.8
200722,HT,HH,T,78247,0,1,5.0,31.0,7.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
200722,HH,HT,B,74857,0,1,6.0,21.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200722,HH,HT,B,50705,0,1,3.0,12.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200722,HH,HT,B,65764,1,0,15.0,97.0,23.0,19.0,4.0,0.0,6.0,3.0,2.0,2.0,3.6
200722,HH,HT,B,63765,0,1,3.0,18.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,65062,0,1,2.0,12.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,75342,0,1,3.0,10.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,69940,1,0,21.0,105.0,29.0,26.0,5.0,1.0,8.0,3.0,2.0,1.0,1.29
200724,NC,KT,T,64995,0,1,2.0,28.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
200724,NC,KT,T,76118,0,1,4.0,21.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200724,HH,SK,B,77318,1,0,14.0,94.0,23.0,18.0,5.0,2.0,7.0,4.0,6.0,6.0,11.57
200724,HH,SK,B,62611,0,1,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,HH,SK,B,67703,0,1,3.0,11.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,9.0
200724,HH,SK,B,61156,0,1,3.0,21.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
200724,HH,SK,B,68701,0,1,3.0,20.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,60841,1,0,18.0,111.0,24.0,20.0,5.0,0.0,7.0,4.0,3.0,3.0,4.5
200724,SK,HH,T,63894,0,1,0.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
200724,SK,HH,T,61895,0,1,3.0,13.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,76350,0,1,3.0,12.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,65060,0,1,1.0,24.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,54.0
200724,HH,SK,B,63464,0,1,3.0,15.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,69032,1,0,21.0,106.0,25.0,23.0,3.0,1.0,9.0,1.0,1.0,1.0,1.29
200724,OB,LG,B,68200,0,1,4.0,17.0,7.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,6.75
200724,LT,WO,T,63543,0,1,3.0,13.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,64893,0,1,3.0,16.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200724,OB,LG,B,77263,0,1,3.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200724,LG,OB,T,76455,1,0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,61101,0,1,17.0,92.0,21.0,18.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0
200724,LG,OB,T,69134,0,1,6.0,20.0,7.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,62146,0,1,2.0,10.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,13.5
200724,LG,OB,T,No_Code,0,1,1.0,10.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200724,LT,WO,T,62528,0,1,3.0,13.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,WO,LT,B,65320,1,0,9.0,72.0,17.0,13.0,5.0,0.0,3.0,3.0,4.0,4.0,12.0
200724,WO,LT,B,62360,0,1,6.0,40.0,9.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
200724,WO,LT,B,64051,0,1,3.0,14.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200724,WO,LT,B,68341,0,1,3.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,WO,LT,B,63342,0,1,3.0,14.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200724,LT,WO,T,64021,1,0,16.0,96.0,23.0,20.0,5.0,1.0,7.0,2.0,2.0,2.0,3.38
200724,LT,WO,T,79293,0,1,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LT,WO,T,63512,0,1,3.0,14.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
200724,WO,LT,B,61268,0,1,3.0,22.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,67266,0,1,5.0,40.0,10.0,9.0,5.0,0.0,0.0,1.0,2.0,2.0,10.8
200724,OB,LG,B,79229,1,0,15.0,98.0,26.0,23.0,8.0,2.0,3.0,3.0,5.0,5.0,9.0
200725,NC,KT,T,61295,0,1,3.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200725,NC,KT,T,50912,1,0,16.0,102.0,22.0,18.0,4.0,0.0,5.0,4.0,4.0,4.0,6.75
200725,NC,KT,T,69962,0,1,2.0,11.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,13.5
200725,NC,KT,T,79358,0,1,1.0,11.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,27.0
200725,NC,KT,T,75867,0,1,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200725,HT,SS,B,50636,1,0,17.0,104.0,23.0,20.0,5.0,0.0,4.0,3.0,2.0,2.0,3.18
200725,HT,SS,B,78247,0,1,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
200725,KT,NC,B,64047,0,1,3.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,HT,SS,B,63628,0,1,1.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200725,HT,SS,B,63638,0,1,3.0,19.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200725,HT,SS,B,50662,0,1,3.0,18.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200725,SS,HT,T,69439,1,0,18.0,111.0,22.0,21.0,4.0,0.0,8.0,1.0,1.0,1.0,1.5
200725,SS,HT,T,67421,0,1,3.0,18.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0
200725,SS,HT,T,73117,0,1,0.0,17.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0
200725,SS,HT,T,68403,0,1,3.0,18.0,6.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,18.0
200725,HT,SS,B,65643,0,1,3.0,16.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
200725,KT,NC,B,65060,0,1,2.0,15.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13.5
200725,KT,NC,B,75342,0,1,2.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,LT,WO,T,62528,0,1,3.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200725,OB,LG,B,67263,1,0,15.0,68.0,18.0,18.0,4.0,0.0,2.0,0.0,1.0,1.0,1.8
200725,OB,LG,B,76329,0,1,3.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,OB,LG,B,65241,0,1,1.0,11.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,54.0
200725,OB,LG,B,61643,0,1,5.0,31.0,7.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
200725,OB,LG,B,63248,0,1,3.0,17.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
200725,LG,OB,T,69103,1,0,15.0,102.0,23.0,20.0,6.0,1.0,3.0,2.0,5.0,5.0,9.0
200725,LG,OB,T,50157,0,1,7.0,32.0,8.0,8.0,2.0,0.0,2.0,0.0,1.0,1.0,3.86
200725,KT,NC,B,50040,1,0,20.0,113.0,27.0,22.0,4.0,0.0,3.0,4.0,1.0,1.0,1.35
200725,LG,OB,T,79140,0,1,2.0,15.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,13.5
200725,WO,LT,B,63348,0,1,4.0,10.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,6.75
200725,WO,LT,B,69328,0,1,3.0,21.0,6.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
200725,LT,WO,T,50558,1,0,21.0,102.0,26.0,22.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0
200725,LT,WO,T,64596,0,1,0.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
200725,LT,WO,T,77591,0,1,0.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
200725,LT,WO,T,63512,0,1,3.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,WO,LT,B,62363,1,0,20.0,101.0,28.0,25.0,6.0,0.0,10.0,3.0,5.0,5.0,6.75
200726,WO,LT,B,67391,1,0,7.0,32.0,11.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
