GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200721,HH,HT,B,29.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,3.0,3.0
200721,OB,WO,B,31.0,6.0,6.0,7.0,2.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0
200721,SS,NC,T,36.0,5.0,5.0,9.0,0.0,0.0,1.0,3.0,4.0,7.0,2.0,0.0,6.0
200721,NC,SS,B,38.0,6.0,6.0,13.0,3.0,0.0,3.0,0.0,3.0,7.0,0.0,0.0,8.0
200721,LT,SK,T,35.0,7.0,7.0,10.0,1.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,6.0
200721,WO,OB,T,35.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,8.0
200721,LG,KT,T,38.0,9.0,9.0,13.0,4.0,0.0,2.0,0.0,6.0,7.0,1.0,0.0,8.0
200721,KT,LG,B,34.0,10.0,10.0,12.0,0.0,0.0,3.0,1.0,4.0,7.0,1.0,1.0,5.0
200721,HT,HH,T,41.0,9.0,10.0,16.0,2.0,0.0,2.0,0.0,9.0,8.0,2.0,0.0,13.0
200721,SK,LT,B,34.0,8.0,8.0,13.0,1.0,0.0,3.0,2.0,4.0,6.0,1.0,0.0,7.0
200722,HH,HT,B,29.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,14.0,1.0,1.0,7.0
200722,HT,HH,T,30.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,8.0
200724,SK,HH,T,34.0,7.0,7.0,8.0,1.0,0.0,3.0,1.0,5.0,13.0,0.0,0.0,6.0
200724,WO,LT,B,31.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,2.0,12.0,1.0,0.0,5.0
200724,LT,WO,T,33.0,3.0,4.0,9.0,1.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,9.0
200724,KT,NC,B,33.0,1.0,2.0,6.0,1.0,0.0,1.0,2.0,6.0,10.0,0.0,0.0,10.0
200724,NC,KT,T,32.0,3.0,3.0,7.0,2.0,0.0,1.0,1.0,3.0,11.0,0.0,2.0,7.0
200724,HH,SK,B,29.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,7.0,11.0,1.0,0.0,5.0
200724,LG,OB,T,40.0,8.0,8.0,15.0,2.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0,11.0
200724,OB,LG,B,31.0,1.0,1.0,8.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,7.0
200725,KT,NC,B,29.0,6.0,6.0,8.0,4.0,0.0,1.0,0.0,4.0,9.0,2.0,0.0,3.0
200725,HT,SS,B,31.0,8.0,8.0,11.0,2.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,5.0
200725,SS,HT,T,32.0,2.0,2.0,7.0,1.0,0.0,0.0,1.0,6.0,10.0,0.0,0.0,9.0
200725,OB,LG,B,31.0,7.0,7.0,10.0,4.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,3.0
200725,LG,OB,T,35.0,2.0,3.0,10.0,3.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,6.0
200725,WO,LT,B,27.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,7.0,8.0,1.0,1.0,6.0
200725,LT,WO,T,35.0,6.0,6.0,9.0,2.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,7.0
200725,NC,KT,T,31.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0
200726,SS,HT,T,36.0,5.0,5.0,12.0,4.0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,11.0
200726,HT,SS,B,37.0,6.0,8.0,12.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0
200726,HH,SK,B,34.0,4.0,4.0,8.0,2.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,7.0
200726,NC,KT,T,32.0,4.0,4.0,7.0,1.0,0.0,2.0,1.0,1.0,7.0,1.0,3.0,3.0
200726,KT,NC,B,34.0,5.0,5.0,8.0,0.0,0.0,3.0,2.0,2.0,8.0,1.0,0.0,7.0
200726,LT,WO,T,34.0,1.0,1.0,8.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,9.0
200726,WO,LT,B,35.0,8.0,8.0,13.0,4.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,8.0
200726,LG,OB,T,33.0,4.0,4.0,7.0,0.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,5.0
200726,OB,LG,B,32.0,3.0,3.0,8.0,2.0,0.0,1.0,0.0,7.0,5.0,1.0,2.0,10.0
200726,SK,HH,T,35.0,7.0,7.0,10.0,2.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,8.0
200727,SK,HH,T,32.0,5.0,5.0,10.0,3.0,0.0,1.0,1.0,4.0,5.0,3.0,1.0,5.0
200727,HH,SK,B,29.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0
200728,OB,WO,B,36.0,2.0,2.0,9.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,9.0
200728,NC,LT,T,42.0,8.0,9.0,17.0,3.0,0.0,2.0,2.0,4.0,7.0,1.0,0.0,10.0
200728,LT,NC,B,36.0,11.0,11.0,14.0,3.0,0.0,2.0,0.0,8.0,6.0,1.0,1.0,9.0
200728,LG,SK,T,49.0,23.0,24.0,23.0,3.0,1.0,6.0,0.0,9.0,6.0,1.0,0.0,7.0
200728,SK,LG,B,34.0,7.0,7.0,8.0,3.0,0.0,2.0,0.0,7.0,10.0,1.0,0.0,7.0
200728,WO,OB,T,34.0,5.0,6.0,8.0,2.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,10.0
200729,HH,SS,T,44.0,8.0,12.0,18.0,1.0,0.0,1.0,0.0,4.0,7.0,1.0,0.0,10.0
200729,SK,LG,B,40.0,6.0,6.0,14.0,1.0,0.0,4.0,2.0,4.0,5.0,0.0,1.0,11.0
200729,LG,SK,T,36.0,11.0,11.0,13.0,0.0,0.0,3.0,1.0,9.0,7.0,2.0,0.0,7.0
200729,SS,HH,B,34.0,7.0,7.0,9.0,1.0,0.0,2.0,1.0,10.0,7.0,1.0,3.0,10.0
200730,OB,WO,B,36.0,5.0,5.0,10.0,0.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,9.0
200730,LG,SK,T,39.0,9.0,9.0,13.0,3.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,9.0
200730,SK,LG,B,30.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,6.0
200730,KT,HT,T,31.0,4.0,4.0,11.0,2.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,7.0
200730,HT,KT,B,33.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,8.0
200730,HH,SS,T,37.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,1.0,9.0
200730,SS,HH,B,36.0,1.0,2.0,6.0,2.0,0.0,0.0,3.0,8.0,12.0,0.0,1.0,12.0
200730,WO,OB,T,34.0,8.0,8.0,13.0,2.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,4.0
200731,WO,SS,T,36.0,9.0,10.0,10.0,2.0,0.0,3.0,1.0,6.0,7.0,1.0,0.0,5.0
200731,LG,HH,B,29.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,3.0
