G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,START_CK,RELIEF_CK,INN2,BF,PA,AB,HIT,HR,KK,BB,R,ER,
20200505HHSK0,20200505,SK,HH,B,50815,1,0,21,93,28,25,9,0,4,2,3,3,
20200505HHSK0,20200505,SK,HH,B,63894,0,1,3,13,3,3,1,0,1,0,0,0,
20200505HHSK0,20200505,HH,SK,T,69744,1,0,27,101,30,29,2,0,2,1,0,0,
20200505HHSK0,20200505,SK,HH,B,76350,0,1,3,9,4,3,1,0,0,0,0,0,
20200505LTKT0,20200505,KT,LT,B,50040,1,0,18,83,21,21,5,0,8,0,1,1,
20200505LTKT0,20200505,LT,KT,T,50558,1,0,17,97,23,20,4,1,4,3,2,2,
20200505LTKT0,20200505,LT,KT,T,62528,0,1,3,23,4,3,0,0,2,1,0,0,
20200505LTKT0,20200505,LT,KT,T,63512,0,1,3,21,4,3,1,0,1,1,0,0,
20200505LTKT0,20200505,KT,LT,B,65048,0,1,3,7,3,2,0,0,0,0,0,0,
20200505LTKT0,20200505,KT,LT,B,65062,0,1,3,34,6,4,1,1,0,2,3,3,
20200505LTKT0,20200505,KT,LT,B,77563,0,1,0,24,4,2,2,1,0,2,3,3,
20200505LTKT0,20200505,KT,LT,B,78517,0,1,3,6,3,3,0,0,1,0,0,0,
20200505LTKT0,20200505,LT,KT,T,79293,0,1,4,14,4,4,1,0,1,0,0,0,
20200505NCSS0,20200505,SS,NC,B,60146,0,1,3,16,3,3,0,0,2,0,0,0,
20200505NCSS0,20200505,NC,SS,T,64995,0,1,1,16,3,1,0,0,0,2,0,0,
20200505NCSS0,20200505,SS,NC,B,69446,0,1,3,12,3,3,1,0,1,0,0,0,
20200505NCSS0,20200505,NC,SS,T,69940,1,0,18,91,25,21,3,0,6,4,0,0,
20200505NCSS0,20200505,NC,SS,T,76118,0,1,2,7,2,2,0,0,1,0,0,0,
20200505NCSS0,20200505,SS,NC,B,77446,1,0,18,97,25,24,8,3,5,1,4,4,
20200505NCSS0,20200505,SS,NC,B,77927,0,1,3,19,4,3,0,0,1,1,0,0,
20200505NCSS0,20200505,NC,SS,T,78352,0,1,3,10,3,3,0,0,1,0,0,0,
20200505NCSS0,20200505,NC,SS,T,79358,0,1,3,10,3,3,0,0,0,0,0,0,
20200505OBLG0,20200505,LG,OB,B,50157,0,1,3,18,5,4,2,0,1,0,1,1,
20200505OBLG0,20200505,OB,LG,T,62294,0,1,0,9,2,0,0,0,0,2,2,2,
20200505OBLG0,20200505,OB,LG,T,65241,0,1,1,15,3,2,2,0,1,1,1,1,
20200505OBLG0,20200505,OB,LG,T,67263,0,1,4,16,5,5,2,0,2,0,1,1,
20200505OBLG0,20200505,OB,LG,T,69045,1,0,18,99,24,21,9,1,3,3,3,3,
20200505OBLG0,20200505,LG,OB,B,69159,0,1,3,11,3,3,0,0,1,0,0,0,
20200505OBLG0,20200505,OB,LG,T,76329,0,1,1,7,2,2,4,0,0,0,1,1,
20200505OBLG0,20200505,LG,OB,B,76455,1,0,18,101,22,20,4,1,7,2,1,1,
20200505OBLG0,20200505,LG,OB,B,76650,0,1,3,18,4,3,1,0,0,1,0,0,
20200505WOHT0,20200505,WO,HT,T,61268,0,1,5,21,6,5,0,0,2,1,0,0,
