G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200505HHSK0,20200505,SK,HH,B,29,0,0,2,0,0,0,0,1,2,0,0,3
20200505HHSK0,20200505,HH,SK,T,31,3,3,8,3,0,0,0,2,5,1,0,5
20200505LTKT0,20200505,KT,LT,B,30,2,2,5,1,0,1,0,5,8,1,0,6
20200505LTKT0,20200505,LT,KT,T,32,7,7,7,1,0,2,0,4,9,1,1,3
20200505NCSS0,20200505,SS,NC,B,30,0,0,3,0,0,0,0,6,8,0,0,9
20200505NCSS0,20200505,NC,SS,T,33,4,4,7,2,0,3,0,2,9,0,1,4
20200505OBLG0,20200505,LG,OB,B,30,6,8,10,6,1,1,1,6,6,1,0,4
20200505OBLG0,20200505,OB,LG,T,30,2,2,6,1,0,1,0,3,9,1,0,5
20200505WOHT0,20200505,HT,WO,B,32,2,2,6,1,0,0,0,5,7,2,0,8
20200505WOHT0,20200505,WO,HT,T,38,11,11,12,3,0,2,0,6,5,1,1,6
20200506HHSK0,20200506,SK,HH,B,33,5,5,9,3,0,2,3,3,8,0,0,8
20200506HHSK0,20200506,HH,SK,T,31,2,2,5,1,0,1,0,4,5,1,2,6
20200506LTKT0,20200506,KT,LT,B,35,4,4,8,2,0,1,1,2,3,0,2,7
20200506LTKT0,20200506,LT,KT,T,36,8,9,12,2,0,1,1,2,6,0,1,5
20200506NCSS0,20200506,SS,NC,B,32,3,3,5,1,0,3,0,2,11,0,1,4
20200506NCSS0,20200506,NC,SS,T,33,4,4,8,1,0,2,2,7,8,0,0,9
20200506OBLG0,20200506,LG,OB,B,33,2,2,6,0,0,0,1,3,6,1,0,7
20200506OBLG0,20200506,OB,LG,T,35,5,5,12,1,0,1,0,1,3,2,1,5
20200506WOHT0,20200506,HT,WO,B,35,2,2,9,2,0,1,0,1,9,0,1,8
20200506WOHT0,20200506,WO,HT,T,31,2,3,7,1,1,0,1,1,11,0,0,5
