G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
20200505HHSK0,20200505,SK,HH,B,L,27,115,31,8,3,0,0,0,2,5,1,3,3
20200505HHSK0,20200505,HH,SK,T,W,27,101,29,2,0,0,0,0,1,2,0,0,0
20200505LTKT0,20200505,KT,LT,B,L,27,154,32,7,1,0,2,0,4,9,1,7,7
20200505LTKT0,20200505,LT,KT,T,W,27,155,30,5,1,0,1,0,5,8,1,2,2
20200505NCSS0,20200505,SS,NC,B,L,27,144,33,7,2,0,3,0,2,9,0,4,4
20200505NCSS0,20200505,NC,SS,T,W,27,134,30,3,0,0,0,0,6,8,0,0,0
20200505OBLG0,20200505,LG,OB,B,W,27,148,30,6,1,0,1,0,3,9,1,2,2
20200505OBLG0,20200505,OB,LG,T,L,24,146,30,10,6,1,1,1,6,6,1,8,8
20200505WOHT0,20200505,HT,WO,B,L,27,186,38,12,3,0,2,0,6,5,1,11,11
20200505WOHT0,20200505,WO,HT,T,W,27,154,32,6,1,0,0,0,5,7,2,2,0
20200506HHSK0,20200506,SK,HH,B,W,27,138,31,5,1,0,1,0,4,5,1,2,2
20200506HHSK0,20200506,HH,SK,T,L,24,144,33,9,3,0,2,3,3,8,0,5,5
20200506LTKT0,20200506,KT,LT,B,L,27,153,36,12,2,0,1,1,2,6,0,9,9
20200506LTKT0,20200506,LT,KT,T,W,27,122,35,8,2,0,1,1,2,3,0,4,3
20200506NCSS0,20200506,SS,NC,B,L,27,155,33,8,1,0,2,2,7,8,0,4,4
20200506NCSS0,20200506,NC,SS,T,W,27,145,32,5,1,0,3,0,2,11,0,3,3
20200506OBLG0,20200506,LG,OB,B,L,27,144,35,12,1,0,1,0,1,3,2,5,5
20200506OBLG0,20200506,OB,LG,T,W,27,136,33,6,0,0,0,1,3,6,1,2,1
20200506WOHT0,20200506,HT,WO,B,L,27,142,31,7,1,1,0,1,1,11,0,3,2
20200506WOHT0,20200506,WO,HT,T,W,27,118,35,9,2,0,1,0,1,9,0,2,2
20200507HHSK0,20200507,SK,HH,B,L,27,165,37,13,1,0,0,4,5,7,3,8,8
20200507HHSK0,20200507,HH,SK,T,W,27,164,39,15,2,2,0,0,6,8,3,4,4
20200507LTKT0,20200507,KT,LT,B,L,27,157,40,14,2,0,1,0,4,3,1,7,6
20200507LTKT0,20200507,LT,KT,T,W,27,139,33,7,2,0,0,0,2,4,0,3,3
20200507NCSS0,20200507,SS,NC,B,L,27,170,35,9,2,0,1,0,7,6,0,8,7
20200507NCSS0,20200507,NC,SS,T,W,27,151,32,5,1,0,0,0,6,8,0,2,2
20200507OBLG0,20200507,LG,OB,B,L,27,152,40,14,2,0,1,0,1,4,0,9,6
20200507OBLG0,20200507,OB,LG,T,W,27,136,30,7,2,0,0,0,2,7,1,3,3
20200507WOHT0,20200507,HT,WO,B,W,27,141,34,9,4,0,1,1,3,6,0,5,5
20200507WOHT0,20200507,WO,HT,T,L,24,162,38,16,2,0,2,0,5,7,2,8,8
20200508HHWO0,20200508,WO,HH,B,W,27,130,31,6,0,0,1,0,2,7,1,3,3
20200508HHWO0,20200508,HH,WO,T,L,24,141,34,10,0,1,2,0,4,6,0,5,5
20200508HTSS0,20200508,SS,HT,B,W,27,142,30,5,1,0,0,0,6,9,1,0,0
20200508HTSS0,20200508,HT,SS,T,L,24,149,30,6,3,0,1,1,7,6,0,5,4
20200508KTOB0,20200508,OB,KT,B,L,27,194,47,22,4,1,1,0,3,7,0,12,12
20200508KTOB0,20200508,KT,OB,T,W,27,142,34,8,3,0,0,0,3,3,0,3,3
20200508LGNC0,20200508,NC,LG,B,W,27,139,34,9,3,0,0,0,6,9,0,5,5
20200508LGNC0,20200508,LG,NC,T,L,24,189,37,13,3,1,2,1,7,4,0,13,13
20200508SKLT0,20200508,LT,SK,B,W,30,157,40,13,3,1,2,4,2,7,0,8,8
20200508SKLT0,20200508,SK,LT,T,L,28,174,39,13,4,0,4,1,3,10,0,9,9
20200509HHWO0,20200509,WO,HH,B,W,27,135,33,10,2,0,1,0,2,4,1,3,3
