G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
20200721HHHT0,20200721,HH,HT,B,74163,4,0,1,1,0,0,0,0,0
20200721HHHT0,20200721,HH,HT,B,50704,1,0,0,0,0,0,0,0,0
20200721HHHT0,20200721,HH,HT,B,78288,2,0,0,0,0,0,0,0,1
20200721HHHT0,20200721,HH,HT,B,65503,3,0,0,0,0,0,0,0,1
20200721HHHT0,20200721,HH,HT,B,71752,3,0,0,0,0,0,0,0,0
20200721HHHT0,20200721,HH,HT,B,61700,3,0,0,0,0,0,0,0,1
20200721HHHT0,20200721,HH,HT,B,64704,0,0,0,0,0,0,0,0,0
20200721HHHT0,20200721,HH,HT,B,50709,0,0,0,0,0,0,0,0,0
20200721HHHT0,20200721,HH,HT,B,50730,3,0,0,0,0,0,0,1,1
20200721HHHT0,20200721,HH,HT,B,62700,3,0,0,1,0,0,0,1,1
20200721HHHT0,20200721,HH,HT,B,68743,3,2,1,1,0,0,1,1,0
20200721HHHT0,20200721,HH,HT,B,74729,4,0,0,0,0,0,0,0,2
20200721HTHH0,20200721,HT,HH,T,65610,6,0,1,1,1,0,0,0,2
20200721HTHH0,20200721,HT,HH,T,66614,4,1,1,1,0,0,1,1,1
20200721HTHH0,20200721,HT,HH,T,64646,3,0,1,0,0,0,0,2,1
20200721HTHH0,20200721,HT,HH,T,73209,5,1,1,2,0,0,0,0,1
20200721HTHH0,20200721,HT,HH,T,66606,1,0,0,0,0,0,0,0,0
20200721HTHH0,20200721,HT,HH,T,63722,4,1,2,3,0,0,1,1,0
20200721HTHH0,20200721,HT,HH,T,65464,0,0,0,0,0,0,0,0,0
20200721HTHH0,20200721,HT,HH,T,72443,5,2,0,3,0,0,0,1,0
20200721HTHH0,20200721,HT,HH,T,69636,1,0,1,0,0,0,0,0,1
20200721HTHH0,20200721,HT,HH,T,69652,2,0,1,2,1,0,0,3,0
20200721HTHH0,20200721,HT,HH,T,64560,6,2,2,2,0,0,0,0,2
20200721HTHH0,20200721,HT,HH,T,78629,4,2,0,2,0,0,0,1,0
20200721KTLG0,20200721,KT,LG,B,77243,1,0,0,0,0,0,0,0,1
20200721KTLG0,20200721,KT,LG,B,64868,0,0,1,0,0,0,0,1,0
20200721KTLG0,20200721,KT,LG,B,62802,1,0,1,0,0,0,0,1,0
20200721KTLG0,20200721,KT,LG,B,64006,1,0,1,0,0,0,0,0,0
20200721KTLG0,20200721,KT,LG,B,78548,3,1,0,1,0,0,0,0,1
20200721KTLG0,20200721,KT,LG,B,50054,1,1,1,1,0,0,0,0,0
20200721KTLG0,20200721,KT,LG,B,73113,3,0,0,1,0,0,0,0,1
20200721KTLG0,20200721,KT,LG,B,74339,4,0,0,1,0,0,0,0,1
20200721KTLG0,20200721,KT,LG,B,68050,3,0,0,0,0,0,0,1,0
20200721KTLG0,20200721,KT,LG,B,67025,5,3,2,4,0,0,2,0,0
20200721KTLG0,20200721,KT,LG,B,76313,5,3,1,1,0,0,1,0,2
20200721KTLG0,20200721,KT,LG,B,64012,1,0,0,0,0,0,0,0,0
20200721KTLG0,20200721,KT,LG,B,64004,2,2,1,1,0,0,0,1,0
20200721KTLG0,20200721,KT,LG,B,64166,4,0,2,2,0,0,0,0,1
20200721LGKT0,20200721,LG,KT,T,66113,3,0,1,1,0,0,0,1,1
20200721LGKT0,20200721,LG,KT,T,79150,3,0,1,2,0,0,0,1,1
20200721LGKT0,20200721,LG,KT,T,71184,1,0,0,0,0,0,0,0,1
20200721LGKT0,20200721,LG,KT,T,65207,0,0,0,0,0,0,0,0,0
20200721LGKT0,20200721,LG,KT,T,61102,4,0,1,2,1,0,0,0,0
20200721LGKT0,20200721,LG,KT,T,78217,1,1,1,1,0,0,1,0,0
20200721LGKT0,20200721,LG,KT,T,65109,0,0,0,0,0,0,0,0,0
20200721LGKT0,20200721,LG,KT,T,69100,0,0,0,0,0,0,0,0,0
20200721LGKT0,20200721,LG,KT,T,77564,3,2,0,1,0,0,0,1,0
20200721LGKT0,20200721,LG,KT,T,78135,5,0,0,0,0,0,0,0,1
