G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200721HHHT0,20200721,HH,HT,B,29,2,2,3,0,0,1,0,3,7,1,3,3
20200722HHHT0,20200722,HH,HT,B,29,1,1,4,1,0,0,0,5,14,1,1,7
20200724HHSK0,20200724,HH,SK,B,29,3,4,5,0,0,0,1,7,11,1,0,5
20200726HHSK0,20200726,HH,SK,B,34,4,4,8,2,0,1,0,4,8,1,0,7
20200727HHSK0,20200727,HH,SK,B,29,5,5,5,3,0,0,1,5,5,2,0,3
20200729HHSS0,20200729,HH,SS,T,44,8,12,18,1,0,1,0,4,7,1,0,10
20200730HHSS0,20200730,HH,SS,T,37,1,1,3,0,0,0,0,6,12,0,1,9
20200731HHLG0,20200731,HH,LG,T,34,2,2,10,1,0,0,0,2,4,0,0,8
20200801HHLG0,20200801,HH,LG,T,34,6,6,8,2,0,1,1,6,8,0,2,7
20200805HHNC0,20200805,HH,NC,B,33,6,8,12,2,0,1,0,7,5,2,0,11
20200806HHNC0,20200806,HH,NC,B,29,1,1,5,0,0,0,0,4,6,1,0,6
20200809HHKT0,20200809,HH,KT,B,34,2,3,8,1,0,1,0,3,12,1,0,8
20200811HHWO0,20200811,HH,WO,T,44,7,7,10,1,0,1,0,8,10,0,1,12
20200812HHWO0,20200812,HH,WO,T,34,2,2,4,1,0,1,1,4,8,0,0,6
20200813HHWO0,20200813,HH,WO,T,32,3,3,9,0,0,0,0,6,10,2,1,9
20200814HHSS0,20200814,HH,SS,B,29,1,1,4,1,0,0,0,3,7,1,0,5
20200815HHSS0,20200815,HH,SS,B,30,0,0,7,0,0,0,1,5,7,1,0,8
20200816HHSS0,20200816,HH,SS,B,26,3,3,2,1,0,0,0,5,4,1,0,4
20200818HHSK0,20200818,HH,SK,T,32,3,3,6,2,0,0,0,11,16,0,1,13
20200819HHSK0,20200819,HH,SK,T,40,5,6,12,2,0,2,0,3,8,0,1,10
20200820HHKT0,20200820,HH,KT,B,29,0,0,2,0,0,0,0,5,9,0,0,7
20200821HHKT0,20200821,HH,KT,B,35,5,5,11,2,0,1,0,2,6,1,0,8
20200823HHLG0,20200823,HH,LG,T,31,4,4,6,1,0,1,0,4,6,0,0,5
20200824HHLG0,20200824,HH,LG,T,38,5,6,14,1,2,0,0,3,7,0,2,13
20200825HHNC0,20200825,HH,NC,T,37,3,3,11,1,1,0,0,6,9,1,0,13
20200826HHNC0,20200826,HH,NC,T,34,5,5,7,1,0,1,0,5,8,2,2,7
20200827HHSS0,20200827,HH,SS,B,33,7,7,11,1,1,0,0,4,3,1,1,7
20200829HHLT0,20200829,HH,LT,T,38,6,7,11,0,1,2,0,2,13,0,0,6
20200830HHLT0,20200830,HH,LT,T,33,2,2,6,1,0,0,1,2,6,0,1,6
20200901HHOB0,20200901,HH,OB,T,29,0,0,3,0,0,0,0,0,9,1,1,2
20200903HHWO0,20200903,HH,WO,B,38,3,5,11,2,0,1,0,6,8,0,0,12
20200904HHWO0,20200904,HH,WO,B,30,7,7,10,1,0,0,0,7,7,0,0,9
20200905HHHT0,20200905,HH,HT,B,33,4,4,8,2,0,1,0,3,11,1,0,6
20200906HHHT0,20200906,HH,HT,B,36,4,4,10,1,0,2,0,0,13,0,1,5
20200908HHSS0,20200908,HH,SS,T,36,4,4,10,2,0,0,0,3,9,0,1,9
20200909HHSS1,20200909,HH,SS,T,37,7,7,12,1,0,1,0,6,10,1,1,9
20200909HHSS0,20200909,HH,SS,T,38,4,4,10,1,0,2,0,3,5,1,0,11
20200910HHSK0,20200910,HH,SK,B,30,1,1,5,0,0,0,0,4,9,2,0,6
20200911HHSK0,20200911,HH,SK,B,34,3,3,6,1,0,0,0,4,12,1,1,8
20200912HHKT0,20200912,HH,KT,T,35,2,2,7,0,0,0,1,1,10,0,0,7
20200913HHKT0,20200913,HH,KT,T,30,4,4,6,1,0,0,2,7,6,0,0,8
20200915HHLG0,20200915,HH,LG,B,38,6,6,11,1,0,0,0,7,10,2,2,10
20200916HHLG0,20200916,HH,LG,B,35,5,5,9,0,1,2,0,4,11,1,1,7
20200917HHWO0,20200917,HH,WO,T,29,2,2,3,0,0,0,0,2,13,0,0,3
20200918HHWO0,20200918,HH,WO,T,36,2,2,8,1,0,0,0,1,10,0,0,8
20200919HHHT0,20200919,HH,HT,T,31,0,0,5,0,0,0,0,0,11,0,1,4
20200920HHHT0,20200920,HH,HT,T,40,11,11,16,4,0,1,0,8,10,0,0,12
20200922HHOB0,20200922,HH,OB,B,29,5,5,6,0,0,1,0,5,16,0,0,6
20200923HHOB0,20200923,HH,OB,B,34,6,6,12,3,0,1,1,3,13,1,0,8
20200721HTHH0,20200721,HT,HH,T,41,9,10,16,2,0,2,0,9,8,2,0,13
20200722HTHH0,20200722,HT,HH,T,30,2,2,5,0,0,0,0,4,10,0,0,8
20200725HTSS0,20200725,HT,SS,B,31,8,8,11,2,0,0,0,3,9,1,0,5
20200726HTSS0,20200726,HT,SS,B,37,6,8,12,2,1,0,0,4,5,0,0,9
20200730HTKT0,20200730,HT,KT,B,33,1,1,8,3,0,0,0,2,8,1,1,8
20200731HTLT0,20200731,HT,LT,T,34,2,3,8,1,0,0,0,4,10,1,3,8
20200801HTLT0,20200801,HT,LT,T,34,3,3,9,2,0,1,0,2,9,1,3,6
