G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
20200721HHHT0,20200721,HH,HT,B,L,27,222,41,16,2,0,2,0,9,8,2,10,9
20200722HHHT0,20200722,HH,HT,B,L,27,148,30,5,0,0,0,0,4,10,0,2,2
20200724HHSK0,20200724,HH,SK,B,L,27,165,34,8,1,0,3,1,5,13,0,7,7
20200726HHSK0,20200726,HH,SK,B,L,27,180,35,10,2,0,0,1,7,5,1,7,7
20200727HHSK0,20200727,HH,SK,B,D,27,138,32,10,3,0,1,1,4,5,3,5,5
20200729HHSS0,20200729,HH,SS,T,W,27,195,34,9,1,0,2,1,10,7,1,7,7
20200730HHSS0,20200730,HH,SS,T,L,33,196,36,6,2,0,0,3,8,12,0,2,1
20200731HHLG0,20200731,HH,LG,T,W,27,136,29,4,2,0,0,0,2,9,0,1,1
20200801HHLG0,20200801,HH,LG,T,L,24,161,39,15,3,0,0,0,2,7,0,9,7
20200805HHNC0,20200805,HH,NC,B,W,27,164,30,6,0,1,0,0,11,4,1,5,5
20200806HHNC0,20200806,HH,NC,B,L,27,173,32,8,1,0,2,0,7,4,1,4,4
20200809HHKT0,20200809,HH,KT,B,L,27,181,37,12,5,0,1,0,5,9,1,6,6
20200811HHWO0,20200811,HH,WO,T,W,36,235,45,12,1,0,1,2,8,13,0,5,4
20200812HHWO0,20200812,HH,WO,T,L,27,153,30,9,2,0,1,1,7,3,3,3,3
20200813HHWO0,20200813,HH,WO,T,L,24,125,31,11,1,1,1,1,3,4,1,6,6
20200814HHSS0,20200814,HH,SS,B,L,27,186,41,15,4,0,1,2,3,6,1,10,10
20200815HHSS0,20200815,HH,SS,B,L,27,153,29,3,0,0,1,0,4,11,0,2,2
20200816HHSS0,20200816,HH,SS,B,W,27,134,32,5,1,0,2,1,2,9,0,2,2
20200818HHSK0,20200818,HH,SK,T,L,24,146,31,8,2,0,2,0,7,4,0,9,4
20200819HHSK0,20200819,HH,SK,T,L,24,210,46,22,4,0,6,0,11,4,0,26,22
20200820HHKT0,20200820,HH,KT,B,L,27,144,31,6,0,0,1,3,4,5,1,3,3
20200821HHKT0,20200821,HH,KT,B,W,27,156,30,4,0,0,1,0,5,12,1,1,1
20200823HHLG0,20200823,HH,LG,T,W,27,159,30,6,1,0,0,0,7,8,3,3,3
20200824HHLG0,20200824,HH,LG,T,W,27,158,32,5,1,0,0,1,5,6,1,3,2
20200825HHNC0,20200825,HH,NC,T,L,24,150,38,15,3,0,6,1,2,7,0,11,11
20200826HHNC0,20200826,HH,NC,T,L,24,150,36,11,2,0,2,1,4,6,1,9,6
20200827HHSS0,20200827,HH,SS,B,W,27,128,32,8,0,0,0,1,1,6,1,0,0
20200829HHLT0,20200829,HH,LT,T,L,24,135,33,11,3,0,4,1,6,5,1,9,9
20200830HHLT0,20200830,HH,LT,T,L,24,145,34,10,3,0,0,2,3,6,1,6,2
20200901HHOB0,20200901,HH,OB,T,L,24,137,33,10,2,0,0,1,2,5,1,4,3
20200903HHWO0,20200903,HH,WO,B,L,27,168,34,9,0,0,1,2,5,8,0,6,6
20200904HHWO0,20200904,HH,WO,B,W,27,147,32,6,1,0,0,2,4,8,0,1,1
20200905HHHT0,20200905,HH,HT,B,L,27,156,36,13,4,0,0,0,6,5,1,5,5
20200906HHHT0,20200906,HH,HT,B,L,27,167,35,10,5,0,1,0,4,9,0,8,7
20200908HHSS0,20200908,HH,SS,T,W,30,173,36,7,1,0,0,2,3,6,0,2,2
20200909HHSS1,20200909,HH,SS,T,W,27,127,31,3,0,0,0,0,4,4,0,0,0
20200909HHSS0,20200909,HH,SS,T,D,27,163,31,7,0,0,1,2,4,11,0,4,4
20200910HHSK0,20200910,HH,SK,B,L,27,153,36,9,1,0,1,1,5,5,0,5,5
20200911HHSK0,20200911,HH,SK,B,L,27,139,33,8,3,0,0,0,2,5,0,4,3
20200912HHKT0,20200912,HH,KT,T,L,24,160,31,9,1,0,0,3,6,3,0,5,5
20200913HHKT0,20200913,HH,KT,T,L,27,154,33,12,1,0,0,0,3,11,2,5,5
20200915HHLG0,20200915,HH,LG,B,W,30,185,39,8,2,0,1,3,3,14,0,5,4
20200916HHLG0,20200916,HH,LG,B,L,27,162,40,15,8,0,0,0,6,5,2,11,10
20200917HHWO0,20200917,HH,WO,T,L,24,152,26,4,2,0,0,0,8,9,1,5,5
20200918HHWO0,20200918,HH,WO,T,W,27,135,31,4,2,0,0,1,3,9,0,0,0
20200919HHHT0,20200919,HH,HT,T,L,24,151,29,10,2,0,0,1,4,4,0,8,6
20200920HHHT0,20200920,HH,HT,T,W,27,157,33,9,1,0,1,0,4,7,1,3,3
20200922HHOB0,20200922,HH,OB,B,W,27,125,29,6,0,0,1,0,4,5,3,1,1
20200923HHOB0,20200923,HH,OB,B,W,27,165,37,11,5,0,0,0,5,6,0,5,5
20200721HTHH0,20200721,HT,HH,T,W,27,133,29,3,0,0,1,0,3,7,1,2,2
20200722HTHH0,20200722,HT,HH,T,W,27,153,29,4,1,0,0,0,5,14,1,1,1
20200725HTSS0,20200725,HT,SS,B,W,27,173,32,7,1,0,0,1,6,10,0,2,2
20200726HTSS0,20200726,HT,SS,B,W,27,157,36,12,4,0,1,1,4,4,0,5,5
20200730HTKT0,20200730,HT,KT,B,L,27,142,31,11,2,0,0,1,5,6,1,4,4
20200731HTLT0,20200731,HT,LT,T,W,27,130,33,6,2,0,0,0,3,5,3,2,1
20200801HTLT0,20200801,HT,LT,T,L,24,134,31,10,3,0,2,0,5,3,2,7,6
20200802HTLT0,20200802,HT,LT,T,L,24,161,34,11,4,0,0,0,4,6,2,8,7
