G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
20200505HHSK0,20200505,SK,HH,0,B,50815,1,0,0,0,L,0,21,93,28,25,6,3,0,0,0,0,1,0,2,0,0,4,1,0,0,0,3,3,2,1.2,0.857142857
20200505HHSK0,20200505,SK,HH,0,B,63894,0,1,0,0, ,0,3,13,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5
20200505HHSK0,20200505,HH,SK,0,T,69744,1,0,1,1,W,0,27,101,30,29,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.75
20200505HHSK0,20200505,SK,HH,0,B,76350,0,1,0,1, ,0,3,9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505LTKT0,20200505,KT,LT,0,B,50040,1,0,0,0, ,0,18,83,21,21,4,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0,0.666666667,1
20200505LTKT0,20200505,LT,KT,0,T,50558,1,0,0,0, ,0,17,97,23,20,3,1,0,1,0,0,0,0,3,0,0,4,1,0,0,0,2,2,0,1.058823529,2.4
20200505LTKT0,20200505,LT,KT,0,T,62528,0,1,0,1, ,0,3,23,4,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
20200505LTKT0,20200505,LT,KT,0,T,63512,0,1,0,0, ,0,3,21,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
20200505LTKT0,20200505,KT,LT,0,B,65048,0,1,0,0, ,0,3,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505LTKT0,20200505,KT,LT,0,B,65062,0,1,0,0,L,0,3,34,6,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,3,3
20200505LTKT0,20200505,KT,LT,0,B,77563,0,1,0,0, ,0,0,24,4,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0
20200505LTKT0,20200505,KT,LT,0,B,78517,0,1,0,1, ,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20200505LTKT0,20200505,LT,KT,0,T,79293,0,1,0,0,W,0,4,14,4,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0
20200505NCSS0,20200505,SS,NC,0,B,60146,0,1,0,0, ,0,3,16,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20200505NCSS0,20200505,NC,SS,0,T,64995,0,1,0,0, ,0,1,16,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
20200505NCSS0,20200505,SS,NC,0,B,69446,0,1,0,1, ,0,3,12,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20200505NCSS0,20200505,NC,SS,0,T,69940,1,0,0,0,W,0,18,91,25,21,3,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,0,0,0,1,3.75
20200505NCSS0,20200505,NC,SS,0,T,76118,0,1,0,1,S,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20200505NCSS0,20200505,SS,NC,0,B,77446,1,0,0,0,L,0,18,97,25,24,6,2,0,3,0,0,0,0,1,0,0,5,0,0,0,0,4,4,1.5,1.058823529,2.4
20200505NCSS0,20200505,SS,NC,0,B,77927,0,1,0,0, ,0,3,19,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5
20200505NCSS0,20200505,NC,SS,0,T,78352,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20200505NCSS0,20200505,NC,SS,0,T,79358,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505OBLG0,20200505,LG,OB,0,B,50157,0,1,0,1, ,0,3,18,5,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,6
20200505OBLG0,20200505,OB,LG,0,T,62294,0,1,0,0, ,0,0,9,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0
20200505OBLG0,20200505,OB,LG,0,T,65241,0,1,0,1, ,0,1,15,3,2,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,6,0,0
20200505OBLG0,20200505,OB,LG,0,T,67263,0,1,0,0, ,0,4,16,5,5,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0.75,0
20200505OBLG0,20200505,OB,LG,0,T,69045,1,0,0,0,L,0,18,99,24,21,6,3,0,1,0,1,0,0,2,0,1,3,1,0,0,0,3,3,1,1.235294118,1.8
20200505OBLG0,20200505,LG,OB,0,B,69159,0,1,0,0, ,1,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20200505OBLG0,20200505,OB,LG,0,T,76329,0,1,0,0, ,0,1,7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6
20200505OBLG0,20200505,LG,OB,0,B,76455,1,0,0,0,W,0,18,101,22,20,3,1,0,1,0,0,0,0,2,0,0,7,0,0,0,0,1,1,0,0.666666667,1
