G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM
20200505HHSK0,20200505,HH,SK,0,화,문학
20200505LTKT0,20200505,LT,KT,0,화,수원
20200505NCSS0,20200505,NC,SS,0,화,대구
20200505OBLG0,20200505,OB,LG,0,화,잠실
20200505WOHT0,20200505,WO,HT,0,화,광주
20200506HHSK0,20200506,HH,SK,0,수,문학
20200506LTKT0,20200506,LT,KT,0,수,수원
20200506NCSS0,20200506,NC,SS,0,수,대구
20200506OBLG0,20200506,OB,LG,0,수,잠실
20200506WOHT0,20200506,WO,HT,0,수,광주
20200507HHSK0,20200507,HH,SK,0,목,문학
20200507LTKT0,20200507,LT,KT,0,목,수원
20200507NCSS0,20200507,NC,SS,0,목,대구
20200507OBLG0,20200507,OB,LG,0,목,잠실
20200507WOHT0,20200507,WO,HT,0,목,광주
20200508HHWO0,20200508,HH,WO,0,금,고척
20200508HTSS0,20200508,HT,SS,0,금,대구
20200508KTOB0,20200508,KT,OB,0,금,잠실
20200508LGNC0,20200508,LG,NC,0,금,창원
20200508SKLT0,20200508,SK,LT,0,금,사직
20200509HHWO0,20200509,HH,WO,0,토,고척
20200509HTSS0,20200509,HT,SS,0,토,대구
20200510HHWO0,20200510,HH,WO,0,일,고척
20200510HTSS0,20200510,HT,SS,0,일,대구
20200510KTOB0,20200510,KT,OB,0,일,잠실
20200510LGNC0,20200510,LG,NC,0,일,창원
20200510SKLT0,20200510,SK,LT,0,일,사직
20200512HTHH0,20200512,HT,HH,0,화,대전
20200512KTNC0,20200512,KT,NC,0,화,창원
20200512OBLT0,20200512,OB,LT,0,화,사직
20200512SKLG0,20200512,SK,LG,0,화,잠실
20200512SSWO0,20200512,SS,WO,0,화,고척
20200513HTHH0,20200513,HT,HH,0,수,대전
20200513KTNC0,20200513,KT,NC,0,수,창원
20200513OBLT0,20200513,OB,LT,0,수,사직
20200513SKLG0,20200513,SK,LG,0,수,잠실
20200513SSWO0,20200513,SS,WO,0,수,고척
20200514HTHH0,20200514,HT,HH,0,목,대전
20200514KTNC0,20200514,KT,NC,0,목,창원
20200514OBLT0,20200514,OB,LT,0,목,사직
20200514SKLG0,20200514,SK,LG,0,목,잠실
20200514SSWO0,20200514,SS,WO,0,목,고척
20200515LTHH0,20200515,LT,HH,0,금,대전
20200515NCSK0,20200515,NC,SK,0,금,문학
20200515OBHT0,20200515,OB,HT,0,금,광주
20200515SSKT0,20200515,SS,KT,0,금,수원
20200516LTHH0,20200516,LT,HH,0,토,대전
20200516NCSK0,20200516,NC,SK,0,토,문학
20200516OBHT0,20200516,OB,HT,0,토,광주
20200516SSKT0,20200516,SS,KT,0,토,수원
20200516WOLG1,20200516,WO,LG,1,토,잠실
20200516WOLG2,20200516,WO,LG,2,토,잠실
20200517LTHH0,20200517,LT,HH,0,일,대전
20200517NCSK0,20200517,NC,SK,0,일,문학
20200517OBHT0,20200517,OB,HT,0,일,광주
20200517SSKT0,20200517,SS,KT,0,일,수원
20200517WOLG0,20200517,WO,LG,0,일,잠실
20200519HHKT0,20200519,HH,KT,0,화,수원
20200519LGSS0,20200519,LG,SS,0,화,대구
20200519LTHT0,20200519,LT,HT,0,화,광주
20200519NCOB0,20200519,NC,OB,0,화,잠실
20200519SKWO0,20200519,SK,WO,0,화,고척
20200520HHKT0,20200520,HH,KT,0,수,수원
20200520LGSS0,20200520,LG,SS,0,수,대구
20200520LTHT0,20200520,LT,HT,0,수,광주
20200520NCOB0,20200520,NC,OB,0,수,잠실
20200520SKWO0,20200520,SK,WO,0,수,고척
20200521HHKT0,20200521,HH,KT,0,목,수원
20200521LGSS0,20200521,LG,SS,0,목,대구
20200521LTHT0,20200521,LT,HT,0,목,광주
20200521NCOB0,20200521,NC,OB,0,목,잠실
20200521SKWO0,20200521,SK,WO,0,목,고척
20200522HHNC0,20200522,HH,NC,0,금,창원
20200522HTSK0,20200522,HT,SK,0,금,문학
