GDAY_DS,T_ID,P_ID,ENTRY_YN
20180324,HH,60100,Y
20180324,LG,60105,N
20180324,LG,60140,Y
20180324,SS,60146,N
20180324,LG,60181,Y
20180324,OB,60255,N
20180324,NC,60263,N
20180324,SS,60288,N
20180324,WO,60336,N
20180324,SK,60337,N
20180324,NC,60339,N
20180324,KT,60343,Y
20180324,OB,60441,N
20180324,SS,60456,N
20180324,LT,60523,N
20180324,KT,60558,Y
20180324,LT,60559,N
20180324,NC,60566,Y
20180324,HT,60605,N
20180324,HT,60634,Y
20180324,HT,60636,N
20180324,HT,60648,N
20180324,HT,60658,N
20180324,HT,60693,N
20180324,HH,60757,N
20180324,KT,60764,N
20180324,HH,60768,N
20180324,HH,60805,Y
20180324,SK,60841,N
20180324,SK,60845,N
20180324,LG,61101,N
20180324,LG,61102,Y
20180324,SS,61104,N
20180324,LG,61114,N
20180324,LG,61145,N
20180324,LG,61186,Y
20180324,SS,61197,Y
20180324,LT,61204,Y
20180324,OB,61208,N
20180324,OB,61214,Y
20180324,KT,61240,N
20180324,WO,61268,N
20180324,LG,61329,N
20180324,WO,61353,Y
20180324,OB,61360,N
20180324,SS,61365,N
20180324,WO,61366,N
20180324,WO,61396,N
20180324,SS,61404,Y
20180324,SS,61411,Y
20180324,WO,61456,N
20180324,SS,61457,Y
20180324,SS,61496,Y
20180324,LT,61557,N
20180324,LT,61566,N
20180324,LT,61591,N
20180324,HT,61643,N
20180324,SK,61652,N
20180324,HT,61666,N
20180324,HH,61700,N
20180324,HT,61743,N
20180324,SK,61865,N
20180324,SK,61869,Y
20180324,LG,61891,Y
20180324,SK,61895,Y
20180324,SK,61896,N
20180324,OB,61962,N
20180324,HT,62007,N
20180324,NC,62016,N
20180324,NC,62025,N
20180324,SK,62056,Y
20180324,LG,62146,Y
20180324,LG,62147,N
20180324,SK,62160,N
20180324,LG,62164,N
20180324,OB,62234,Y
20180324,OB,62244,N
20180324,OB,62263,Y
20180324,HT,62265,N
20180324,WO,62332,Y
20180324,WO,62353,N
20180324,WO,62356,N
20180324,WO,62360,Y
20180324,WO,62363,N
20180324,SS,62404,Y
20180324,SS,62409,N
20180324,SS,62415,Y
20180324,SS,62499,N
20180324,LT,62528,N
20180324,NC,62537,N
20180324,LT,62556,Y
20180324,LT,62559,N
20180324,LT,62595,N
20180324,HT,62637,N
20180324,HT,62648,Y
20180324,HT,62696,N
20180324,LG,62698,N
20180324,HH,62700,Y
20180324,HH,62748,N
20180324,HT,62754,N
20180324,HH,62797,Y
20180324,SK,62802,Y
20180324,HT,62864,Y
20180324,SK,62869,N
20180324,SK,62884,Y
20180324,SK,62892,N
20180324,HT,62893,N
20180324,SK,62895,Y
20180324,NC,62907,Y
20180324,HT,62908,Y
20180324,NC,62917,N
20180324,NC,62920,Y
20180324,NC,62921,N
20180324,NC,62925,N
20180324,NC,62929,Y
20180324,NC,62931,Y
20180324,NC,62934,Y
20180324,WO,62937,N
20180324,NC,62947,Y
20180324,NC,62951,N
20180324,NC,62966,N
20180324,SS,63027,N
20180324,KT,63088,N
20180324,LG,63111,N
20180324,LG,63123,Y
20180324,LG,63125,N
20180324,HT,63137,N
20180324,LG,63145,N
20180324,OB,63202,Y
20180324,OB,63248,Y
20180324,OB,63257,N
20180324,OB,63260,N
20180324,OB,63292,N
20180324,WO,63342,Y
20180324,WO,63348,N
20180324,LG,63360,N
20180324,KT,63450,Y
20180324,LT,63512,Y
20180324,LT,63543,Y
20180324,LT,63554,N
20180324,OB,63559,Y
20180324,LT,63593,N
20180324,WO,63619,N
20180324,SK,63704,Y
20180324,HT,63722,Y
20180324,HH,63749,N
20180324,HH,63765,N
20180324,SK,63895,N
20180324,NC,63903,N
20180324,LG,63905,N
20180324,NC,63936,N
20180324,NC,63950,N
20180324,WO,63960,N
20180324,NC,63963,Y
20180324,NC,63967,N
20180324,KT,64001,Y
20180324,KT,64006,Y
20180324,KT,64011,N
20180324,KT,64012,N
20180324,KT,64014,N
20180324,KT,64017,Y
20180324,LT,64021,N
20180324,LT,64022,N
20180324,KT,64029,Y
20180324,WO,64051,Y
20180324,LT,64055,N
20180324,OB,64086,N
20180324,LG,64115,N
20180324,LG,64117,N
20180324,LG,64153,Y
20180324,LG,64155,N
20180324,OB,64255,N
20180324,SS,64266,Y
20180324,WO,64300,Y
20180324,WO,64346,Y
20180324,WO,64350,Y
20180324,SS,64462,N
20180324,SS,64464,N
20180324,SS,64469,N
20180324,LT,64504,N
20180324,HH,64554,N
20180324,KT,64560,N
20180324,LT,64565,N
20180324,NC,64594,N
20180324,SS,64610,Y
20180324,HH,64717,Y
20180324,LT,64718,N
20180324,HH,64724,N
20180324,HH,64759,Y
20180324,HH,64760,N
20180324,SS,64793,N
20180324,SK,64805,N
20180324,SK,64868,N
20180324,KT,64907,N
20180324,NC,64944,Y
20180324,NC,64987,N
20180324,NC,64995,Y
20180324,KT,65040,N
20180324,KT,65042,N
20180324,KT,65044,N
20180324,KT,65056,Y
20180324,KT,65058,N
20180324,KT,65060,Y
20180324,KT,65062,Y
20180324,NC,65064,N
20180324,LT,65067,N
20180324,KT,65096,N
20180324,LG,65109,Y
20180324,LG,65115,Y
20180324,LG,65132,N
20180324,LG,65136,N
20180324,LG,65157,N
20180324,OB,65209,N
20180324,OB,65269,N
20180324,WO,65320,N
20180324,KT,65331,Y
20180324,SK,65343,N
20180324,WO,65345,N
20180324,WO,65357,N
20180324,WO,65392,N
20180324,WO,65399,N
20180324,SS,65412,N
20180324,LT,65509,N
20180324,LT,65514,N
20180324,KT,65516,N
20180324,OB,65543,Y
20180324,LT,65546,Y
20180324,LT,65586,N
20180324,HT,65616,N
20180324,HT,65639,Y
20180324,HT,65643,Y
20180324,HT,65661,N
20180324,WO,65742,Y
20180324,HH,65764,N
20180324,HH,65769,Y
20180324,SS,65844,N
20180324,SK,65856,Y
20180324,SK,65896,N
20180324,NC,65908,N
20180324,NC,65933,N
20180324,WO,66018,Y
20180324,KT,66047,N
20180324,KT,66052,N
20180324,KT,66064,N
20180324,KT,66098,N
20180324,LG,66112,N
20180324,LG,66145,N
20180324,OB,66160,N
20180324,LG,66162,N
20180324,OB,66201,N
20180324,OB,66207,N
20180324,OB,66209,Y
20180324,OB,66291,Y
20180324,WO,66354,Y
20180324,WO,66357,N
20180324,WO,66397,N
20180324,WO,66398,N
20180324,WO,66399,N
20180324,SS,66406,Y
20180324,SS,66444,N
20180324,SS,66451,Y
20180324,SS,66462,Y
20180324,SS,66469,N
20180324,SS,66492,Y
20180324,LT,66504,N
20180324,LT,66508,Y
20180324,LT,66558,N
20180324,HT,66606,Y
20180324,HT,66615,N
20180324,HT,66643,Y
20180324,HT,66662,N
20180324,HH,66702,Y
20180324,HH,66704,N
20180324,HH,66706,N
20180324,HH,66710,Y
20180324,HH,66715,N
20180324,HH,66716,Y
20180324,HH,66741,N
20180324,HT,66804,N
20180324,SK,66833,N
20180324,SK,66838,Y
20180324,SK,66858,N
20180324,SK,66859,Y
20180324,SK,66864,N
20180324,NC,66917,N
20180324,NC,66920,N
20180324,NC,66960,N
20180324,NC,66965,Y
20180324,NC,66968,Y
20180324,NC,66992,N
20180324,KT,67005,N
20180324,KT,67025,Y
20180324,KT,67048,N
20180324,KT,67066,N
20180324,LG,67119,N
20180324,LG,67143,N
20180324,OB,67202,N
20180324,OB,67207,N
20180324,OB,67246,N
20180324,OB,67266,Y
20180324,WO,67304,Y
20180324,WO,67313,N
20180324,WO,67341,Y
20180324,WO,67360,N
20180324,WO,67394,Y
20180324,SS,67421,N
20180324,SS,67443,N
20180324,SS,67449,N
20180324,SS,67450,Y
20180324,LT,67454,Y
20180324,SS,67467,N
20180324,LT,67539,Y
20180324,LT,67588,Y
20180324,LT,67598,Y
20180324,WO,67603,N
20180324,HT,67610,N
20180324,HT,67640,Y
20180324,HT,67645,N
20180324,HT,67650,Y
20180324,HT,67668,N
20180324,HH,67703,Y
20180324,HH,67737,N
20180324,HH,67760,N
20180324,HH,67768,N
20180324,WO,67828,Y
20180324,SK,67840,N
20180324,SK,67863,Y
20180324,SK,67872,Y
20180324,SK,67893,N
20180324,NC,67935,Y
20180324,NC,67944,Y
20180324,NC,67993,N
20180324,KT,68036,N
20180324,KT,68043,N
20180324,KT,68050,Y
20180324,KT,68067,N
20180324,KT,68068,N
20180324,KT,68069,N
20180324,KT,68097,N
20180324,LG,68100,N
20180324,LG,68103,Y
20180324,LG,68130,N
20180324,LG,68135,Y
20180324,LG,68157,N
20180324,LG,68159,N
20180324,OB,68200,N
20180324,OB,68201,N
20180324,OB,68204,N
20180324,OB,68205,N
20180324,OB,68207,N
20180324,OB,68208,N
20180324,OB,68209,N
20180324,OB,68211,N
20180324,OB,68220,Y
20180324,OB,68240,Y
20180324,OB,68242,N
20180324,OB,68244,Y
20180324,OB,68249,N
20180324,WO,68302,N
20180324,WO,68330,N
20180324,WO,68341,N
20180324,WO,68346,N
20180324,WO,68362,N
20180324,SS,68400,Y
20180324,SS,68415,N
20180324,SS,68419,N
20180324,SS,68435,Y
20180324,SS,68453,N
20180324,SS,68454,N
20180324,SS,68463,N
20180324,SS,68466,N
20180324,SS,68468,N
20180324,LT,68504,N
20180324,LT,68525,Y
20180324,LT,68526,Y
20180324,LT,68529,N
20180324,LT,68556,N
20180324,LT,68585,N
20180324,LT,68589,N
20180324,HT,68639,N
20180324,HT,68646,N
20180324,HT,68659,N
20180324,HT,68661,N
20180324,HT,68669,N
20180324,HH,68701,N
20180324,HH,68703,Y
20180324,HH,68707,N
20180324,HH,68730,Y
20180324,HH,68742,Y
20180324,HH,68743,N
20180324,HH,68748,Y
20180324,HH,68797,N
20180324,HH,68798,N
20180324,SK,68815,N
20180324,SK,68830,N
20180324,SK,68848,N
20180324,SK,68856,N
20180324,SK,68868,N
20180324,SK,68869,N
20180324,SK,68896,N
20180324,NC,68900,N
20180324,NC,68901,N
20180324,NC,68904,N
20180324,NC,68906,N
20180324,NC,68908,N
20180324,NC,68909,N
20180324,NC,68912,N
20180324,NC,68928,N
20180324,NC,68948,Y
20180324,NC,68953,Y
20180324,NC,68968,N
20180324,HT,70410,Y
20180324,HH,70425,N
20180324,KT,70553,Y
20180324,HT,70756,Y
20180324,LG,71118,Y
20180324,SK,71184,Y
20180324,HH,71347,N
20180324,SS,71432,Y
20180324,NC,71552,Y
20180324,LT,71564,Y
20180324,HH,71752,Y
20180324,SK,71837,Y
20180324,LG,71842,Y
20180324,SK,71845,N
20180324,SK,71848,N
20180324,LG,72133,Y
20180324,HT,72443,Y
20180324,HH,72447,N
20180324,SS,72456,N
20180324,SS,72466,Y
20180324,LT,72523,N
20180324,LT,72535,Y
20180324,LT,72546,Y
20180324,LT,72551,N
20180324,HT,72559,N
20180324,SK,72860,N
20180324,LT,72862,N
20180324,KT,73113,Y
20180324,SS,73117,N
20180324,HH,73136,N
20180324,KT,73153,N
20180324,SK,73209,Y
20180324,LT,73211,N
20180324,NC,73213,Y
20180324,OB,73248,N
20180324,NC,73306,N
20180324,NC,73339,Y
20180324,WO,73342,N
20180324,HT,73606,Y
20180324,SK,73632,N
20180324,HH,73738,N
