,G_ID,T_ID,WAR_sum
0,20170331HHOB0,HH,20.93
1,20170331HHOB0,OB,41.56
2,20170331HTSS0,HT,34.07
3,20170331HTSS0,SS,16.0
4,20170331KTSK0,KT,10.990000000000002
5,20170331KTSK0,SK,28.28
6,20170331LGWO0,LG,25.0
7,20170331LGWO0,WO,30.3
8,20170331LTNC0,LT,22.77
9,20170331LTNC0,NC,21.94
10,20170401HHOB0,HH,24.060000000000002
11,20170401HHOB0,OB,41.43
12,20170401HTSS0,HT,31.62
13,20170401HTSS0,SS,19.13
14,20170401KTSK0,KT,10.190000000000001
15,20170401KTSK0,SK,20.02
16,20170401LGWO0,LG,28.480000000000008
17,20170401LGWO0,WO,24.67
18,20170401LTNC0,LT,16.81
19,20170401LTNC0,NC,19.98
20,20170402HHOB0,HH,23.000000000000004
21,20170402HHOB0,OB,37.31
22,20170402HTSS0,HT,27.060000000000002
23,20170402HTSS0,SS,17.939999999999998
24,20170402KTSK0,KT,13.390000000000002
25,20170402KTSK0,SK,20.18
26,20170402LGWO0,LG,24.94
27,20170402LGWO0,WO,33.46
28,20170402LTNC0,LT,19.02
29,20170402LTNC0,NC,20.35
30,20170404NCHH0,HH,18.150000000000002
31,20170404NCHH0,NC,13.84
32,20170404OBKT0,KT,13.070000000000002
33,20170404OBKT0,OB,41.330000000000005
34,20170404SKHT0,HT,28.45
35,20170404SKHT0,SK,20.43
36,20170404SSLG0,LG,28.810000000000002
37,20170404SSLG0,SS,16.93
38,20170404WOLT0,LT,17.189999999999998
39,20170404WOLT0,WO,23.15
40,20170406NCHH0,HH,21.475
41,20170406NCHH0,NC,27.240000000000002
42,20170406OBKT0,KT,11.430000000000001
43,20170406OBKT0,OB,35.67
44,20170406SKHT0,HT,23.02
45,20170406SKHT0,SK,25.35
46,20170406SSLG0,LG,26.759999999999998
47,20170406SSLG0,SS,16.77
48,20170406WOLT0,LT,16.240000000000002
49,20170406WOLT0,WO,23.64
50,20170407HHHT0,HH,17.650000000000002
51,20170407HHHT0,HT,27.130000000000003
52,20170407LGLT0,LG,26.990000000000002
53,20170407LGLT0,LT,14.17
54,20170407NCSK0,NC,25.93
55,20170407NCSK0,SK,21.37
56,20170407SSKT0,KT,11.490000000000002
57,20170407SSKT0,SS,16.520000000000003
58,20170407WOOB0,OB,36.52
59,20170407WOOB0,WO,27.38
60,20170408HHHT0,HH,22.32
61,20170408HHHT0,HT,22.16
62,20170408LGLT0,LG,22.880000000000003
63,20170408LGLT0,LT,15.43
64,20170408NCSK0,NC,23.240000000000002
65,20170408NCSK0,SK,23.75
66,20170408SSKT0,KT,11.21
67,20170408SSKT0,SS,18.64
68,20170408WOOB0,OB,34.84
69,20170408WOOB0,WO,24.65
70,20170409HHHT0,HH,19.115000000000002
71,20170409HHHT0,HT,27.85
72,20170409LGLT0,LG,21.32
73,20170409LGLT0,LT,11.08
74,20170409NCSK0,NC,24.42
75,20170409NCSK0,SK,18.150000000000002
76,20170409SSKT0,KT,12.030000000000003
77,20170409SSKT0,SS,16.700000000000003
78,20170409WOOB0,OB,31.6
79,20170409WOOB0,WO,19.62
80,20170411HHSS0,HH,20.190000000000005
81,20170411HHSS0,SS,16.0
82,20170411HTOB0,HT,24.669999999999998
83,20170411HTOB0,OB,42.35
84,20170411KTWO0,KT,13.83
85,20170411KTWO0,WO,25.470000000000002
86,20170411LGNC0,LG,27.360000000000003
87,20170411LGNC0,NC,26.6
88,20170411LTSK0,LT,18.28
89,20170411LTSK0,SK,15.330000000000002
90,20170412HHSS0,HH,17.98
91,20170412HHSS0,SS,15.540000000000001
92,20170412HTOB0,HT,23.28
93,20170412HTOB0,OB,35.260000000000005
94,20170412KTWO0,KT,12.020000000000001
95,20170412KTWO0,WO,25.7
96,20170412LGNC0,LG,25.979999999999997
97,20170412LGNC0,NC,24.13
98,20170412LTSK0,LT,24.710000000000004
99,20170412LTSK0,SK,28.68
100,20170413HHSS0,HH,16.69
101,20170413HHSS0,SS,18.81
102,20170413HTOB0,HT,29.450000000000003
103,20170413HTOB0,OB,35.660000000000004
104,20170413KTWO0,KT,13.020000000000001
105,20170413KTWO0,WO,25.83
106,20170413LGNC0,LG,23.46
107,20170413LGNC0,NC,21.11
108,20170413LTSK0,LT,17.580000000000002
109,20170413LTSK0,SK,20.35
110,20170414KTLG0,KT,6.109999999999999
111,20170414KTLG0,LG,27.26
112,20170414OBNC0,NC,18.06
113,20170414OBNC0,OB,39.7
114,20170414SKHH0,HH,10.760000000000002
115,20170414SKHH0,SK,20.21
116,20170414SSLT0,LT,19.009999999999998
117,20170414SSLT0,SS,19.169999999999998
118,20170414WOHT0,HT,18.56
119,20170414WOHT0,WO,17.97
120,20170415KTLG0,KT,9.66
121,20170415KTLG0,LG,26.69
122,20170415OBNC0,NC,12.459999999999999
123,20170415OBNC0,OB,30.09
124,20170415SKHH0,HH,17.605
125,20170415SKHH0,SK,18.650000000000002
126,20170415SSLT0,LT,19.93
127,20170415SSLT0,SS,15.290000000000001
128,20170415WOHT0,HT,25.23
129,20170415WOHT0,WO,20.09
130,20170416KTLG0,KT,9.63
131,20170416KTLG0,LG,29.900000000000006
132,20170416OBNC0,NC,15.36
133,20170416OBNC0,OB,33.03
134,20170416SKHH0,HH,19.04
135,20170416SKHH0,SK,22.17
136,20170416SSLT0,LT,16.820000000000004
137,20170416SSLT0,SS,17.79
138,20170416WOHT0,HT,24.91
139,20170416WOHT0,WO,30.97
140,20170418HTKT0,HT,21.220000000000002
141,20170418HTKT0,KT,11.98
142,20170418LGHH0,HH,18.71
143,20170418LGHH0,LG,24.02
144,20170418NCLT0,LT,22.349999999999998
145,20170418NCLT0,NC,21.58
146,20170418SSOB0,OB,37.9
147,20170418SSOB0,SS,19.3
148,20170418WOSK0,SK,26.180000000000003
149,20170418WOSK0,WO,19.14
150,20170419HTKT0,HT,22.020000000000003
151,20170419HTKT0,KT,10.73
152,20170419LGHH0,HH,17.580000000000002
153,20170419LGHH0,LG,18.94
154,20170419NCLT0,LT,16.77
155,20170419NCLT0,NC,16.639999999999997
156,20170419SSOB0,OB,42.330000000000005
157,20170419SSOB0,SS,19.61
158,20170419WOSK0,SK,22.41
159,20170419WOSK0,WO,23.74
160,20170420HTKT0,HT,31.66
161,20170420HTKT0,KT,13.370000000000001
162,20170420LGHH0,HH,22.28
163,20170420LGHH0,LG,27.880000000000003
164,20170420NCLT0,LT,17.1
165,20170420NCLT0,NC,19.46
166,20170420SSOB0,OB,40.440000000000005
167,20170420SSOB0,SS,19.64
168,20170420WOSK0,SK,23.57
169,20170420WOSK0,WO,24.18
170,20170421HHKT0,HH,21.760000000000005
171,20170421HHKT0,KT,13.050000000000002
172,20170421HTLG0,HT,22.78
173,20170421HTLG0,LG,22.580000000000002
174,20170421LTWO0,LT,17.310000000000002
175,20170421LTWO0,WO,20.740000000000002
176,20170421NCSS0,NC,18.27
177,20170421NCSS0,SS,21.429999999999996
178,20170421OBSK0,OB,32.370000000000005
179,20170421OBSK0,SK,19.360000000000003
180,20170422HHKT0,HH,21.684999999999995
181,20170422HHKT0,KT,11.730000000000002
182,20170422HTLG0,HT,27.52
183,20170422HTLG0,LG,26.25
184,20170422LTWO0,LT,14.93
185,20170422LTWO0,WO,25.22
186,20170422NCSS0,NC,14.0
187,20170422NCSS0,SS,15.290000000000003
188,20170422OBSK0,OB,31.259999999999998
189,20170422OBSK0,SK,21.32
190,20170423HHKT0,HH,18.599999999999998
191,20170423HHKT0,KT,14.120000000000001
192,20170423HTLG0,HT,23.990000000000002
193,20170423HTLG0,LG,26.360000000000003
194,20170423LTWO0,LT,20.94
195,20170423LTWO0,WO,23.290000000000003
196,20170423NCSS0,NC,20.41
197,20170423NCSS0,SS,20.61
198,20170423OBSK0,OB,27.34
199,20170423OBSK0,SK,22.990000000000002
200,20170425HHLT0,HH,20.540000000000003
201,20170425HHLT0,LT,17.159999999999997
202,20170425KTNC0,KT,10.410000000000002
203,20170425KTNC0,NC,21.86
204,20170425OBWO0,OB,28.34
205,20170425OBWO0,WO,23.290000000000003
206,20170425SKLG0,LG,23.630000000000003
207,20170425SKLG0,SK,19.66
208,20170425SSHT0,HT,20.750000000000004
209,20170425SSHT0,SS,14.940000000000003
210,20170426HHLT0,HH,20.419999999999998
211,20170426HHLT0,LT,19.560000000000002
212,20170426KTNC0,KT,8.850000000000001
213,20170426KTNC0,NC,18.18
214,20170426OBWO0,OB,35.67
215,20170426OBWO0,WO,19.900000000000002
216,20170426SKLG0,LG,27.400000000000002
217,20170426SKLG0,SK,19.21
218,20170426SSHT0,HT,31.85
219,20170426SSHT0,SS,17.17
220,20170427HHLT0,HH,19.550000000000004
221,20170427HHLT0,LT,14.65
222,20170427KTNC0,KT,12.200000000000003
223,20170427KTNC0,NC,21.88
224,20170427OBWO0,OB,34.949999999999996
225,20170427OBWO0,WO,14.28
226,20170427SKLG0,LG,22.5
227,20170427SKLG0,SK,16.04
228,20170427SSHT0,HT,28.39
229,20170427SSHT0,SS,15.840000000000002
230,20170428LGKT0,KT,11.890000000000002
231,20170428LGKT0,LG,22.68
232,20170428LTOB0,LT,17.86
233,20170428LTOB0,OB,33.5
234,20170428NCHT0,HT,30.520000000000003
235,20170428NCHT0,NC,18.02
236,20170428SKSS0,SK,21.53
237,20170428SKSS0,SS,18.200000000000003
238,20170428WOHH0,HH,12.83
239,20170428WOHH0,WO,23.32
240,20170429LGKT0,KT,10.740000000000002
241,20170429LGKT0,LG,26.14
242,20170429LTOB0,LT,20.66
243,20170429LTOB0,OB,37.78
244,20170429NCHT0,HT,26.87
245,20170429NCHT0,NC,27.11
246,20170429SKSS0,SK,22.8
247,20170429SKSS0,SS,16.5
248,20170429WOHH0,HH,19.150000000000002
249,20170429WOHH0,WO,19.16
250,20170430LGKT0,KT,11.88
251,20170430LGKT0,LG,24.3
252,20170430LTOB0,LT,13.06
253,20170430LTOB0,OB,29.36
254,20170430NCHT0,HT,26.900000000000002
255,20170430NCHT0,NC,16.15
256,20170430SKSS0,SK,19.01
257,20170430SKSS0,SS,13.910000000000002
258,20170430WOHH0,HH,22.765000000000004
259,20170430WOHH0,WO,18.92
260,20170502HHSK0,HH,25.95
261,20170502HHSK0,SK,17.76
262,20170502HTWO0,HT,33.49
263,20170502HTWO0,WO,12.95
264,20170502LTKT0,KT,9.510000000000002
265,20170502LTKT0,LT,13.88
266,20170502NCLG0,LG,21.650000000000002
267,20170502NCLG0,NC,25.080000000000002
268,20170502OBSS0,OB,36.93
269,20170502OBSS0,SS,21.7
270,20170503HHSK0,HH,19.18
271,20170503HHSK0,SK,11.1
272,20170503HTWO0,HT,31.960000000000004
273,20170503HTWO0,WO,20.1
274,20170503LTKT0,KT,10.940000000000001
275,20170503LTKT0,LT,17.98
276,20170503NCLG0,LG,22.44
277,20170503NCLG0,NC,20.360000000000003
278,20170503OBSS0,OB,32.690000000000005
279,20170503OBSS0,SS,13.860000000000001
280,20170504HHSK0,HH,14.41
281,20170504HHSK0,SK,15.810000000000002
282,20170504HTWO0,HT,27.62
283,20170504HTWO0,WO,24.359999999999996
284,20170504LTKT0,KT,12.210000000000003
285,20170504LTKT0,LT,16.61
286,20170504NCLG0,LG,27.150000000000006
287,20170504NCLG0,NC,23.16
288,20170504OBSS0,OB,38.660000000000004
289,20170504OBSS0,SS,13.31
290,20170505HTLT0,HT,29.57
291,20170505HTLT0,LT,21.11
292,20170505KTHH0,HH,11.05
293,20170505KTHH0,KT,10.230000000000002
294,20170505LGOB0,LG,23.12
295,20170505LGOB0,OB,38.15
296,20170505SKWO0,SK,10.740000000000002
297,20170505SKWO0,WO,21.560000000000002
298,20170505SSNC0,NC,24.04
299,20170505SSNC0,SS,10.55
300,20170506HTLT0,HT,22.200000000000003
301,20170506HTLT0,LT,17.52
302,20170506KTHH0,HH,18.465
303,20170506KTHH0,KT,11.020000000000001
304,20170506LGOB0,LG,22.709999999999997
305,20170506LGOB0,OB,29.63
306,20170506SKWO0,SK,22.680000000000003
307,20170506SKWO0,WO,11.52
308,20170506SSNC0,NC,21.62
309,20170506SSNC0,SS,12.040000000000003
310,20170507HTLT0,HT,32.52
311,20170507HTLT0,LT,16.15
312,20170507KTHH0,HH,13.790000000000001
313,20170507KTHH0,KT,12.39
314,20170507LGOB0,LG,25.65
