G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2_teampit,BF,AB_pit,HIT_pit,H2_pit,H3_pit,HR_pit,SB_pit,BB_pit,KK_pit,GD_pit,R,ER_teampit,WLS_changed,INN2_sp,ER_sp,AB_bat,RBI,RUN,HIT_bat,H2_bat,H3_bat,HR_bat,SB_bat,BB_bat,KK_bat,GD_bat,ERR,LOB,ERA,AVG_bat,AVG_pit,OPS_bat,OPS_pit,wOBA_bat,wOBA_pit,FIP,WHIP,ISO,PE,3hal
20160401HTNC0,20160401,NC,HT,B,W,27,143,34,8,3,0,1,0,4,10,1,4,4,1,17,4,30,5,5,9,2,0,2,0,5,9,1,1,7,4.0,0.3,0.23529411764705882,1.0333333333333334,0.7647058823529411,0.4182857142857143,0.32184210526315793,3.5555555555555554,1.3333333333333333,0.26666666666666666,0.6097560975609756,5
20160402HTNC0,20160402,NC,HT,B,L,27,152,33,8,2,0,1,1,5,8,0,4,4,0,15,3,33,3,3,7,1,0,1,1,3,5,1,0,6,4.0,0.21212121212121213,0.24242424242424243,0.6363636363636364,0.7878787878787878,0.2747222222222222,0.33,4.333333333333333,1.4444444444444444,0.12121212121212122,0.36,4
20160405NCOB0,20160405,NC,OB,T,L,24,156,28,6,1,1,0,2,11,5,0,6,6,0,7,6,31,2,2,5,0,0,0,0,6,9,1,0,8,6.75,0.16129032258064516,0.21428571428571427,0.5161290322580645,0.9285714285714286,0.23216216216216215,0.36,5.875,2.125,0.0,0.1,3
20160406NCOB0,20160406,NC,OB,T,L,24,133,30,5,0,0,1,0,2,8,0,2,2,0,17,2,28,0,0,2,0,0,0,0,1,12,1,3,2,2.25,0.07142857142857142,0.16666666666666666,0.17857142857142858,0.5,0.08517241379310345,0.21999999999999997,3.375,0.875,0.0,0.0,2
20160407NCOB0,20160407,NC,OB,T,W,27,156,36,10,1,0,0,0,4,9,1,2,2,1,18,1,41,8,8,15,2,1,0,0,2,4,0,0,8,2.0,0.36585365853658536,0.2777777777777778,0.8780487804878049,0.6944444444444444,0.37720930232558136,0.301,2.3333333333333335,1.5555555555555556,0.0975609756097561,0.9411764705882353,2
20160408HHNC0,20160408,NC,HH,B,W,27,150,31,5,2,0,1,0,8,9,1,4,4,1,21,2,30,4,5,9,2,0,1,3,7,6,2,0,9,4.0,0.3,0.16129032258064516,1.0,0.7419354838709677,0.4002702702702703,0.30615384615384617,5.111111111111111,1.4444444444444444,0.16666666666666666,0.6097560975609756,4
20160409HHNC0,20160409,NC,HH,B,W,27,104,29,7,0,0,0,0,2,8,3,1,1,1,24,1,36,10,10,13,2,0,2,0,4,4,0,0,7,1.0,0.3611111111111111,0.2413793103448276,1.0555555555555556,0.5517241379310345,0.43775,0.24548387096774194,1.8888888888888888,1.0,0.2222222222222222,0.9900990099009901,3
20160410HHNC0,20160410,NC,HH,B,L,27,144,29,6,1,0,0,0,5,12,0,2,2,0,10,1,29,1,1,2,0,0,0,2,4,9,0,0,6,2.0,0.06896551724137931,0.20689655172413793,0.27586206896551724,0.6206896551724138,0.13757575757575757,0.2697058823529412,2.0,1.2222222222222223,0.0,0.2,2
20160412NCSS0,20160412,NC,SS,T,L,24,164,42,18,4,1,2,0,4,8,1,16,13,0,6,6,37,5,5,10,1,0,3,0,1,4,0,2,7,14.625,0.2702702702702703,0.42857142857142855,0.8378378378378378,1.2380952380952381,0.35789473684210527,0.5097826086956523,5.75,2.75,0.2702702702702703,0.08896797153024912,3
20160413NCSS0,20160413,NC,SS,T,W,27,115,30,5,3,0,0,1,2,6,1,2,2,1,22,2,32,7,7,10,2,0,0,1,5,5,1,0,5,2.0,0.3125,0.16666666666666666,0.84375,0.5,0.3543243243243243,0.21781250000000002,2.3333333333333335,0.7777777777777778,0.0625,0.9245283018867925,3
20160414NCSS0,20160414,NC,SS,T,L,24,146,33,11,0,0,0,3,3,4,2,7,5,0,18,3,34,5,5,8,2,0,2,2,5,16,1,2,7,5.625,0.23529411764705882,0.3333333333333333,0.8529411764705882,0.7575757575757576,0.3525641025641026,0.3294444444444445,3.125,1.75,0.23529411764705882,0.33783783783783783,3
20160415LTNC0,20160415,NC,LT,B,W,27,151,31,4,0,0,0,0,2,13,0,0,0,1,16,0,32,3,3,9,3,0,0,2,5,10,1,0,9,0.0,0.28125,0.12903225806451613,0.8125,0.3225806451612903,0.3405405405405405,0.1496969696969697,0.7777777777777777,0.6666666666666666,0.09375,1.0,4
20160417LTNC0,20160417,NC,LT,B,L,27,177,37,12,3,0,2,1,5,7,1,8,4,0,15,1,37,5,5,13,1,0,1,0,4,5,2,1,9,4.0,0.35135135135135137,0.32432432432432434,0.918918918918919,1.027027027027027,0.3882926829268293,0.4211904761904762,6.0,1.8888888888888888,0.10810810810810811,0.2808988764044944,4
20160419NCLG0,20160419,NC,LG,T,W,27,115,27,1,0,0,0,0,2,8,0,1,1,1,20,1,36,7,8,12,3,0,1,0,6,6,0,1,8,1.0,0.3333333333333333,0.037037037037037035,1.0,0.14814814814814814,0.40880952380952384,0.07827586206896552,1.8888888888888888,0.3333333333333333,0.16666666666666666,0.9846153846153847,4
20160420NCLG0,20160420,NC,LG,T,L,24,122,31,6,0,0,2,0,4,5,0,6,6,0,21,5,33,3,3,11,3,0,0,0,2,6,3,1,6,6.75,0.3333333333333333,0.1935483870967742,0.8181818181818182,0.7096774193548387,0.3517142857142857,0.30057142857142854,6.5,1.25,0.09090909090909091,0.2,4
20160421NCLG0,20160421,NC,LG,T,W,27,170,39,12,1,0,3,0,6,11,0,5,5,1,15,5,38,7,8,14,5,0,0,0,8,6,0,0,11,5.0,0.3684210526315789,0.3076923076923077,1.0789473684210527,1.0256410256410255,0.43217391304347824,0.4184444444444444,6.888888888888889,2.0,0.13157894736842105,0.7191011235955056,5
